message_id,channel_name,image_path,detected_objects,confidence_score,image_category
25446,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25446.jpg,"person,book",0.4573,lifestyle
25447,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25447.jpg,bottle,0.5939,product_display
25448,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25448.jpg,bottle,0.8124,product_display
25449,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25449.jpg,bottle,0.8619,product_display
25450,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25450.jpg,bottle,0.713,product_display
25451,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25451.jpg,,0.0,other
25452,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25452.jpg,,0.0,other
25453,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25453.jpg,bottle,0.2725,product_display
25454,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25454.jpg,,0.0,other
25455,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25455.jpg,,0.0,other
25456,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25456.jpg,,0.0,other
25457,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25457.jpg,bottle,0.2524,product_display
25458,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25458.jpg,,0.0,other
25459,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25459.jpg,,0.0,other
25460,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25460.jpg,,0.0,other
25461,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25461.jpg,"bottle,bottle,bottle,bottle,bottle,bottle,bottle,dining table",0.8144,product_display
25462,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25462.jpg,"book,bottle,refrigerator,bottle",0.2932,product_display
25463,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25463.jpg,refrigerator,0.3814,other
25464,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25464.jpg,,0.0,other
25465,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25465.jpg,,0.0,other
25466,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25466.jpg,,0.0,other
25467,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25467.jpg,,0.0,other
25468,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25468.jpg,"bottle,bottle,dining table,bottle,bottle,cup,bottle,bottle,bottle,bottle,bottle,bottle",0.5097,product_display
25469,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25469.jpg,person,0.3117,lifestyle
25470,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25470.jpg,bottle,0.8619,product_display
25471,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25471.jpg,,0.0,other
25472,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25472.jpg,,0.0,other
25473,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25473.jpg,"parking meter,cell phone",0.2752,other
25474,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25474.jpg,,0.0,other
25475,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25475.jpg,,0.0,other
25476,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25476.jpg,,0.0,other
25477,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25477.jpg,,0.0,other
25478,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25478.jpg,,0.0,other
25479,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25479.jpg,,0.0,other
25480,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25480.jpg,,0.0,other
25481,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25481.jpg,bottle,0.4609,product_display
25482,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25482.jpg,teddy bear,0.3179,other
25483,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25483.jpg,"parking meter,cell phone",0.2752,other
25484,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25484.jpg,"book,bottle,refrigerator,bottle",0.2932,product_display
25485,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25485.jpg,refrigerator,0.3814,other
25486,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25486.jpg,"bottle,bottle,dining table,bottle,bottle,cup,bottle,bottle,bottle,bottle,bottle,bottle",0.5097,product_display
25487,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25487.jpg,person,0.3117,lifestyle
25488,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25488.jpg,"book,cup",0.3382,product_display
25489,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25489.jpg,,0.0,other
25490,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25490.jpg,,0.0,other
25491,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25491.jpg,horse,0.8773,other
25492,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25492.jpg,bottle,0.8076,product_display
25493,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25493.jpg,,0.0,other
25494,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25494.jpg,teddy bear,0.3179,other
25495,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25495.jpg,"traffic light,bottle",0.3134,product_display
25496,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25496.jpg,"person,book",0.4573,lifestyle
